127.0.0.1 - - [26/Dec/2023:15:53:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/ HTTP/1.1" 200 6580
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/hos2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/hos.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/hos3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/doct.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/doc1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/doc3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/doc4.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /hospital/img/doc2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/index.jsp HTTP/1.1" 200 6580
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/hos2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/hos.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/hos3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/doct.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/doc1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/doc2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/doc3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:07 +0530] "GET /hospital/img/doc4.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/index.jsp HTTP/1.1" 200 6580
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/hos2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/hos.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/hos3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/doc1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/doct.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/doc3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/doc2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:08 +0530] "GET /hospital/img/doc4.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:10 +0530] "GET /hospital/doctor_login.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:53:16 +0530] "GET /hospital/admin_login.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/ HTTP/1.1" 200 6580
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/hos.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/hos2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/doct.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/hos3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/doc1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/doc4.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/doc3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:35 +0530] "GET /hospital/img/doc2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/index.jsp HTTP/1.1" 200 6580
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/hos.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/hos2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/doct.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/hos3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/doc1.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/doc2.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/doc3.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:37 +0530] "GET /hospital/img/doc4.jpg HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:39 +0530] "GET /hospital/user_login.jsp HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:41 +0530] "GET /hospital/signup.jsp HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:58 +0530] "POST /hospital/user_register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:15:54:58 +0530] "GET /hospital/signup.jsp HTTP/1.1" 200 3226
